# Spin 1
# Original Fermi-level:     -3.45938 eV
# DOS shifted relative to Fermi-level
#  Energy (eV)     DOS (/eV)    Local iDOS
     -15.58330       0.00000       0.00000
     -15.57145       0.00001       0.00000
     -15.55960       0.00006       0.00000
     -15.54774       0.00048       0.00001
     -15.53589       0.00340       0.00005
     -15.52403       0.01974       0.00028
     -15.51218       0.09490       0.00141
     -15.50033       0.37731       0.00588
     -15.48847       1.24084       0.02059
     -15.47662       3.37534       0.06060
     -15.46476       7.59455       0.15063
     -15.45291      14.13415       0.31817
     -15.44106      21.75805       0.57609
     -15.42920      27.70470       0.90451
     -15.41735      29.17895       1.25040
     -15.40549      25.41961       1.55172
     -15.39364      18.31687       1.76885
     -15.38179      10.91733       1.89826
     -15.36993       5.38226       1.96207
     -15.35808       2.19480       1.98808
     -15.34622       0.74030       1.99686
     -15.33437       0.20654       1.99931
     -15.32251       0.04766       1.99987
     -15.31066       0.00910       1.99998
     -15.29881       0.00144       2.00000
     -15.28695       0.00019       2.00000
     -15.27510       0.00002       2.00000
     -15.26324       0.00000       2.00000
     -15.25139       0.00000       2.00000
     -15.23954       0.00000       2.00000
     -15.22768       0.00000       2.00000
     -15.21583       0.00000       2.00000
     -15.20397       0.00000       2.00000
     -15.19212       0.00000       2.00000
     -15.18027       0.00000       2.00000
     -15.16841       0.00000       2.00000
     -15.15656       0.00000       2.00000
     -15.14470       0.00000       2.00000
     -15.13285       0.00000       2.00000
     -15.12100       0.00000       2.00000
     -15.10914       0.00000       2.00000
     -15.09729       0.00000       2.00000
     -15.08543       0.00000       2.00000
     -15.07358       0.00000       2.00000
     -15.06173       0.00000       2.00000
     -15.04987       0.00000       2.00000
     -15.03802       0.00000       2.00000
     -15.02616       0.00000       2.00000
     -15.01431       0.00000       2.00000
     -15.00246       0.00000       2.00000
     -14.99060       0.00000       2.00000
     -14.97875       0.00000       2.00000
     -14.96689       0.00000       2.00000
     -14.95504       0.00000       2.00000
     -14.94319       0.00000       2.00000
     -14.93133       0.00000       2.00000
     -14.91948       0.00000       2.00000
     -14.90762       0.00000       2.00000
     -14.89577       0.00000       2.00000
     -14.88391       0.00000       2.00000
     -14.87206       0.00000       2.00000
     -14.86021       0.00000       2.00000
     -14.84835       0.00000       2.00000
     -14.83650       0.00000       2.00000
     -14.82464       0.00000       2.00000
     -14.81279       0.00000       2.00000
     -14.80094       0.00000       2.00000
     -14.78908       0.00000       2.00000
     -14.77723       0.00000       2.00000
     -14.76537       0.00000       2.00000
     -14.75352       0.00000       2.00000
     -14.74167       0.00000       2.00000
     -14.72981       0.00000       2.00000
     -14.71796       0.00000       2.00000
     -14.70610       0.00000       2.00000
     -14.69425       0.00000       2.00000
     -14.68240       0.00000       2.00000
     -14.67054       0.00000       2.00000
     -14.65869       0.00000       2.00000
     -14.64683       0.00000       2.00000
     -14.63498       0.00000       2.00000
     -14.62313       0.00000       2.00000
     -14.61127       0.00000       2.00000
     -14.59942       0.00000       2.00000
     -14.58756       0.00000       2.00000
     -14.57571       0.00000       2.00000
     -14.56386       0.00000       2.00000
     -14.55200       0.00000       2.00000
     -14.54015       0.00000       2.00000
     -14.52829       0.00000       2.00000
     -14.51644       0.00000       2.00000
     -14.50458       0.00000       2.00000
     -14.49273       0.00000       2.00000
     -14.48088       0.00000       2.00000
     -14.46902       0.00000       2.00000
     -14.45717       0.00000       2.00000
     -14.44531       0.00000       2.00000
     -14.43346       0.00000       2.00000
     -14.42161       0.00000       2.00000
     -14.40975       0.00000       2.00000
     -14.39790       0.00000       2.00000
     -14.38604       0.00000       2.00000
     -14.37419       0.00000       2.00000
     -14.36234       0.00000       2.00000
     -14.35048       0.00000       2.00000
     -14.33863       0.00000       2.00000
     -14.32677       0.00000       2.00000
     -14.31492       0.00000       2.00000
     -14.30307       0.00000       2.00000
     -14.29121       0.00000       2.00000
     -14.27936       0.00000       2.00000
     -14.26750       0.00000       2.00000
     -14.25565       0.00000       2.00000
     -14.24380       0.00000       2.00000
     -14.23194       0.00000       2.00000
     -14.22009       0.00000       2.00000
     -14.20823       0.00000       2.00000
     -14.19638       0.00000       2.00000
     -14.18453       0.00000       2.00000
     -14.17267       0.00000       2.00000
     -14.16082       0.00000       2.00000
     -14.14896       0.00000       2.00000
     -14.13711       0.00000       2.00000
     -14.12525       0.00000       2.00000
     -14.11340       0.00000       2.00000
     -14.10155       0.00000       2.00000
     -14.08969       0.00000       2.00000
     -14.07784       0.00000       2.00000
     -14.06598       0.00000       2.00000
     -14.05413       0.00000       2.00000
     -14.04228       0.00000       2.00000
     -14.03042       0.00000       2.00000
     -14.01857       0.00000       2.00000
     -14.00671       0.00000       2.00000
     -13.99486       0.00000       2.00000
     -13.98301       0.00000       2.00000
     -13.97115       0.00000       2.00000
     -13.95930       0.00000       2.00000
     -13.94744       0.00000       2.00000
     -13.93559       0.00000       2.00000
     -13.92374       0.00000       2.00000
     -13.91188       0.00000       2.00000
     -13.90003       0.00000       2.00000
     -13.88817       0.00000       2.00000
     -13.87632       0.00000       2.00000
     -13.86447       0.00000       2.00000
     -13.85261       0.00000       2.00000
     -13.84076       0.00000       2.00000
     -13.82890       0.00000       2.00000
     -13.81705       0.00000       2.00000
     -13.80520       0.00000       2.00000
     -13.79334       0.00000       2.00000
     -13.78149       0.00000       2.00000
     -13.76963       0.00000       2.00000
     -13.75778       0.00000       2.00000
     -13.74593       0.00000       2.00000
     -13.73407       0.00000       2.00000
     -13.72222       0.00000       2.00000
     -13.71036       0.00000       2.00000
     -13.69851       0.00000       2.00000
     -13.68665       0.00000       2.00000
     -13.67480       0.00000       2.00000
     -13.66295       0.00000       2.00000
