# Spin 1
# Original Fermi-level:     -4.86309 eV
# DOS shifted relative to Fermi-level
#  Energy (eV)     DOS (/eV)    Local iDOS
     -16.94137       0.00000       0.00000
     -16.93852       0.00000       0.00000
     -16.93567       0.00000       0.00000
     -16.93281       0.00000       0.00000
     -16.92996       0.00000       0.00000
     -16.92711       0.00000       0.00000
     -16.92425       0.00000       0.00000
     -16.92140       0.00000       0.00000
     -16.91855       0.00000       0.00000
     -16.91569       0.00000       0.00000
     -16.91284       0.00000       0.00000
     -16.90999       0.00000       0.00000
     -16.90713       0.00000       0.00000
     -16.90428       0.00000       0.00000
     -16.90143       0.00000       0.00000
     -16.89857       0.00000       0.00000
     -16.89572       0.00000       0.00000
     -16.89287       0.00000       0.00000
     -16.89001       0.00000       0.00000
     -16.88716       0.00000       0.00000
     -16.88431       0.00000       0.00000
     -16.88145       0.00000       0.00000
     -16.87860       0.00000       0.00000
     -16.87575       0.00000       0.00000
     -16.87289       0.00000       0.00000
     -16.87004       0.00000       0.00000
     -16.86719       0.00000       0.00000
     -16.86433       0.00000       0.00000
     -16.86148       0.00000       0.00000
     -16.85863       0.00000       0.00000
     -16.85577       0.00000       0.00000
     -16.85292       0.00000       0.00000
     -16.85007       0.00000       0.00000
     -16.84721       0.00000       0.00000
     -16.84436       0.00000       0.00000
     -16.84151       0.00000       0.00000
     -16.83865       0.00000       0.00000
     -16.83580       0.00000       0.00000
     -16.83295       0.00000       0.00000
     -16.83009       0.00000       0.00000
     -16.82724       0.00000       0.00000
     -16.82439       0.00000       0.00000
     -16.82153       0.00000       0.00000
     -16.81868       0.00000       0.00000
     -16.81583       0.00000       0.00000
     -16.81297       0.00000       0.00000
     -16.81012       0.00000       0.00000
     -16.80727       0.00000       0.00000
     -16.80441       0.00000       0.00000
     -16.80156       0.00000       0.00000
     -16.79871       0.00000       0.00000
     -16.79585       0.00000       0.00000
     -16.79300       0.00000       0.00000
     -16.79015       0.00000       0.00000
     -16.78729       0.00000       0.00000
     -16.78444       0.00000       0.00000
     -16.78159       0.00000       0.00000
     -16.77873       0.00000       0.00000
     -16.77588       0.00000       0.00000
     -16.77303       0.00000       0.00000
     -16.77017       0.00000       0.00000
     -16.76732       0.00000       0.00000
     -16.76447       0.00000       0.00000
     -16.76161       0.00000       0.00000
     -16.75876       0.00000       0.00000
     -16.75591       0.00000       0.00000
     -16.75305       0.00000       0.00000
     -16.75020       0.00000       0.00000
     -16.74735       0.00000       0.00000
     -16.74449       0.00000       0.00000
     -16.74164       0.00000       0.00000
     -16.73879       0.00000       0.00000
     -16.73593       0.00000       0.00000
     -16.73308       0.00000       0.00000
     -16.73023       0.00000       0.00000
     -16.72737       0.00000       0.00000
     -16.72452       0.00000       0.00000
     -16.72166       0.00000       0.00000
     -16.71881       0.00000       0.00000
     -16.71596       0.00000       0.00000
     -16.71310       0.00000       0.00000
     -16.71025       0.00000       0.00000
     -16.70740       0.00000       0.00000
     -16.70454       0.00000       0.00000
     -16.70169       0.00000       0.00000
     -16.69884       0.00000       0.00000
     -16.69598       0.00000       0.00000
     -16.69313       0.00000       0.00000
     -16.69028       0.00000       0.00000
     -16.68742       0.00000       0.00000
     -16.68457       0.00000       0.00000
     -16.68172       0.00000       0.00000
     -16.67886       0.00000       0.00000
     -16.67601       0.00000       0.00000
     -16.67316       0.00000       0.00000
     -16.67030       0.00000       0.00000
     -16.66745       0.00000       0.00000
     -16.66460       0.00000       0.00000
     -16.66174       0.00000       0.00000
     -16.65889       0.00000       0.00000
     -16.65604       0.00000       0.00000
     -16.65318       0.00000       0.00000
     -16.65033       0.00000       0.00000
     -16.64748       0.00000       0.00000
     -16.64462       0.00000       0.00000
     -16.64177       0.00000       0.00000
     -16.63892       0.00000       0.00000
     -16.63606       0.00000       0.00000
     -16.63321       0.00000       0.00000
     -16.63036       0.00000       0.00000
     -16.62750       0.00000       0.00000
     -16.62465       0.00000       0.00000
     -16.62180       0.00000       0.00000
